Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
American Samoa,ASM,02-May-20,,2017,278.205
American Samoa,ASM,03-May-20,,2017,278.205
American Samoa,ASM,04-May-20,,2017,278.205
American Samoa,ASM,05-May-20,,2017,278.205
American Samoa,ASM,06-May-20,,2017,278.205
American Samoa,ASM,07-May-20,,2017,278.205
American Samoa,ASM,08-May-20,,2017,278.205
American Samoa,ASM,09-May-20,,2017,278.205
American Samoa,ASM,10-May-20,,2017,278.205
American Samoa,ASM,11-May-20,,2017,278.205
American Samoa,ASM,12-May-20,,2017,278.205
American Samoa,ASM,13-May-20,,2017,278.205
American Samoa,ASM,14-May-20,,2017,278.205
American Samoa,ASM,15-May-20,,2017,278.205
American Samoa,ASM,16-May-20,,2017,278.205
American Samoa,ASM,17-May-20,,2017,278.205
American Samoa,ASM,18-May-20,,2017,278.205
American Samoa,ASM,19-May-20,,2017,278.205
American Samoa,ASM,20-May-20,,2017,278.205
American Samoa,ASM,21-May-20,,2017,278.205
American Samoa,ASM,22-May-20,,2017,278.205
American Samoa,ASM,23-May-20,,2017,278.205
American Samoa,ASM,24-May-20,,2017,278.205
American Samoa,ASM,25-May-20,,2017,278.205
American Samoa,ASM,26-May-20,,2017,278.205
American Samoa,ASM,27-May-20,,2017,278.205
American Samoa,ASM,28-May-20,,2017,278.205
American Samoa,ASM,29-May-20,,2017,278.205
American Samoa,ASM,30-May-20,,2017,278.205
Andorra,AND,31-Dec-19,,2017,163.7553191
Andorra,AND,01-Jan-20,,2017,163.7553191
Andorra,AND,02-Jan-20,,2017,163.7553191
Andorra,AND,03-Jan-20,,2017,163.7553191
Andorra,AND,04-Jan-20,,2017,163.7553191
Andorra,AND,05-Jan-20,,2017,163.7553191
Andorra,AND,06-Jan-20,,2017,163.7553191
Andorra,AND,07-Jan-20,,2017,163.7553191
Andorra,AND,08-Jan-20,,2017,163.7553191
Andorra,AND,09-Jan-20,,2017,163.7553191
Andorra,AND,10-Jan-20,,2017,163.7553191
Andorra,AND,11-Jan-20,,2017,163.7553191
Andorra,AND,12-Jan-20,,2017,163.7553191
Andorra,AND,13-Jan-20,,2017,163.7553191
Andorra,AND,14-Jan-20,,2017,163.7553191
Andorra,AND,15-Jan-20,,2017,163.7553191
Andorra,AND,16-Jan-20,,2017,163.7553191
Andorra,AND,17-Jan-20,,2017,163.7553191
Andorra,AND,18-Jan-20,,2017,163.7553191
Andorra,AND,19-Jan-20,,2017,163.7553191
Andorra,AND,20-Jan-20,,2017,163.7553191
Andorra,AND,21-Jan-20,,2017,163.7553191
Andorra,AND,22-Jan-20,,2017,163.7553191
Andorra,AND,23-Jan-20,,2017,163.7553191
Andorra,AND,24-Jan-20,,2017,163.7553191
Andorra,AND,25-Jan-20,,2017,163.7553191
Andorra,AND,26-Jan-20,,2017,163.7553191
Andorra,AND,27-Jan-20,,2017,163.7553191
Andorra,AND,28-Jan-20,,2017,163.7553191
Andorra,AND,29-Jan-20,,2017,163.7553191
Andorra,AND,30-Jan-20,,2017,163.7553191
Andorra,AND,31-Jan-20,,2017,163.7553191
Andorra,AND,01-Feb-20,,2017,163.7553191
Andorra,AND,02-Feb-20,,2017,163.7553191
Andorra,AND,03-Feb-20,,2017,163.7553191
Andorra,AND,04-Feb-20,,2017,163.7553191
Andorra,AND,05-Feb-20,,2017,163.7553191
Andorra,AND,06-Feb-20,,2017,163.7553191
Andorra,AND,07-Feb-20,,2017,163.7553191
Andorra,AND,08-Feb-20,,2017,163.7553191
Andorra,AND,09-Feb-20,,2017,163.7553191
Andorra,AND,10-Feb-20,,2017,163.7553191
Andorra,AND,11-Feb-20,,2017,163.7553191
Andorra,AND,12-Feb-20,,2017,163.7553191
Andorra,AND,13-Feb-20,,2017,163.7553191
Andorra,AND,14-Feb-20,,2017,163.7553191
Andorra,AND,15-Feb-20,,2017,163.7553191
Andorra,AND,16-Feb-20,,2017,163.7553191
Andorra,AND,17-Feb-20,,2017,163.7553191
Andorra,AND,18-Feb-20,,2017,163.7553191
Andorra,AND,19-Feb-20,,2017,163.7553191
